ENSG00000145860,ENSG00000134318
ENSG00000102796,ENSG00000168936
ENSG00000140398,ENSG00000171634
ENSG00000104808,ENSG00000149636
ENSG00000100601,ENSG00000171357
ENSG00000159228,ENSG00000197956
ENSG00000167074,ENSG00000144645
ENSG00000168906,ENSG00000125755
ENSG00000134574,ENSG00000139826
ENSG00000051620,ENSG00000004848
ENSG00000008405,ENSG00000101654
ENSG00000092470,ENSG00000196172
ENSG00000164733,ENSG00000064961
ENSG00000095713,ENSG00000104763
ENSG00000115657,ENSG00000093183
ENSG00000072310,ENSG00000204947
ENSG00000185561,ENSG00000118263
ENSG00000052795,ENSG00000124615
ENSG00000109861,ENSG00000120162
ENSG00000100439,ENSG00000186532
ENSG00000084207,ENSG00000159899
