13030,12631,1
12631,13030,1
13030,12417,0
13030,68118,0
13030,12709,1
12709,13030,1
13030,258232,0
13030,24067,0
13030,13063,1
13063,13030,1
13030,246735,0
13030,28193,0
13030,13717,1
13717,13030,1
13030,245944,0
13030,100042150,0
13030,13806,1
13806,13030,1
13030,237353,0
13030,258914,0
13030,238024,1
238024,13030,1
13030,18985,0
13030,16924,0
13030,11674,1
11674,13030,1
13030,14170,0
13030,117229,0
13030,14381,1
14381,13030,1
13030,387344,0
13030,52551,0
13030,14433,1
14433,13030,1
13030,70349,0
13030,11652,0
13030,15369,1
15369,13030,1
13030,252864,0
13030,16641,0
13030,17386,1
17386,13030,1
13030,16985,0
13030,238257,0
13030,26413,1
26413,13030,1
13030,67310,0
13030,258622,0
13030,11758,1
11758,13030,1
13030,113855,0
12631,12417,0
13030,19211,1
19211,13030,1
12631,68118,0
12631,258232,0
13030,18751,1
18751,13030,1
12631,24067,0
12631,246735,0
13030,11652,1
11652,13030,1
12631,28193,0
12631,245944,0
13030,68585,1
68585,13030,1
12631,100042150,0
12631,237353,0
13030,212541,1
212541,13030,1
12631,258914,0
12631,18985,0
13030,56045,1
56045,13030,1
12631,16924,0
12631,14170,0
13030,64384,1
64384,13030,1
12631,117229,0
12631,387344,0
13030,20741,1
20741,13030,1
12631,52551,0
12631,70349,0
13030,50493,1
50493,13030,1
12631,11652,0
12631,252864,0
13030,193034,1
193034,13030,1
12631,16641,0
12631,16985,0
13030,22334,1
22334,13030,1
12631,238257,0
12631,67310,0
12631,12709,1
12709,12631,1
12631,258622,0
12631,113855,0
12631,13063,1
13063,12631,1
12709,12417,0
12709,68118,0
12631,13717,1
13717,12631,1
12709,258232,0
12709,24067,0
12631,13806,1
13806,12631,1
12709,246735,0
12709,28193,0
12631,238024,1
238024,12631,1
12709,245944,0
12709,100042150,0
12631,11674,1
11674,12631,1
12709,237353,0
12709,258914,0
12631,14381,1
14381,12631,1
12709,18985,0
12709,16924,0
12631,14433,1
14433,12631,1
12709,14170,0
12709,117229,0
12631,15369,1
15369,12631,1
12709,387344,0
12709,52551,0
12631,17386,1
17386,12631,1
12709,70349,0
12709,11652,0
